DateKey, DayName, IsWeekend, IsHoliday
'2026-11-01', 'Sunday', '1', '0'
'2026-11-02', 'Monday', '0', '0'
'2026-11-03', 'Tuesday', '0', '0'
'2026-11-04', 'Wednesday', '0', '0'
'2026-11-05', 'Thursday', '0', '0'
'2026-11-06', 'Friday', '0', '0'
'2026-11-07', 'Saturday', '1', '0'
'2026-11-08', 'Sunday', '1', '0'
'2026-11-09', 'Monday', '0', '0'
'2026-11-10', 'Tuesday', '0', '0'
'2026-11-11', 'Wednesday', '0', '0'
'2026-11-12', 'Thursday', '0', '0'
'2026-11-13', 'Friday', '0', '0'
'2026-11-14', 'Saturday', '1', '0'
'2026-11-15', 'Sunday', '1', '0'
'2026-11-16', 'Monday', '0', '0'
'2026-11-17', 'Tuesday', '0', '0'
'2026-11-18', 'Wednesday', '0', '0'
'2026-11-19', 'Thursday', '0', '0'
'2026-11-20', 'Friday', '0', '0'
'2026-11-21', 'Saturday', '1', '0'
'2026-11-22', 'Sunday', '1', '0'
'2026-11-23', 'Monday', '0', '0'
'2026-11-24', 'Tuesday', '0', '0'
'2026-11-25', 'Wednesday', '0', '0'
'2026-11-26', 'Thursday', '0', '0'
'2026-11-27', 'Friday', '0', '0'
'2026-11-28', 'Saturday', '1', '0'
'2026-11-29', 'Sunday', '1', '0'
'2026-11-30', 'Monday', '0', '0'

